Substance ID,Name ,CAS ,SMILES,Formula ,FW ,OVERALL ,TA100 ,TA100_S9 ,TA1535 ,TA1535_S9 ,TA97 ,TA97_S9 ,TA1538 ,TA1538_S9 ,TA98 ,TA98_S9 ,TA1537 ,TA1537_S9 ,TA102 ,TA102_S9 ,TA104 ,TA104_S9 ,TA98(NR) ,TA98(NR)_S9 ,TA97A ,TA97A_S9 ,"TA98(1,8-DNP6) ","TA98(1,8-DNP6)_S9 ","TA100(1,8-DNP6) ","TA100(1,8-DNP6)_S9 ",TA100(NR) ,TA100(NR)_S9 ,YG1024 ,YG1024_S9 ,TA2638 ,TA2638_S9 ,YG1029 ,YG1029_S9 ,TA92 ,TA92_S9 ,YG1026 ,YG1026_S9 ,YG1021 ,YG1021_S9 ,TA7004 ,TA7004_S9 ,TA7005 ,TA7005_S9 ,TA1978 ,TA1978_S9 ,TA7002 ,TA7002_S9 ,TA7003 ,TA7003_S9 ,TA7001 ,TA7001_S9 ,TA7006 ,TA7006_S9 ,TM677 ,TM677_S9 ,G46 ,G46_S9 ,YG1020 ,YG1020_S9 ,YG1025 ,YG1025_S9 ,TA94 ,TA94_S9
1156," 2,2-BIS[(BENZOYLOXY)METHYL]-1,3-PROPANEDIOL DIBENZOATE ",  4196-86-5  ,HC(C(C(H)OC(=O)c1ccccc1)(C(H)OC(=O)c1ccccc1)C(H)OC(=O)c1ccccc1)OC(=O)c1ccccc1,C33H28O8 ,552.5706,1,1,1,1,1,1,1,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1157, BETA-BROMO-BETA-NITROSTYRENE ,  7166-19-0  ,c1(C=C(Br)N(=O)=O)ccccc1,C8H6BrNO2 ,228.0428,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1158, DIDEOXYADENOSINE ,  4097-22-7  ,HC1C(H)[C@@](C(H)O)O[C@@]1N1c2c(c(N)ncn2)N=C1,C10H13N5O2 ,235.2427,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1159, TRIETHYLGERMANIUM CHLORIDE ,  994-28-5  ,HC(H)C(H)[Ge](Cl)(C(H)C(H)H)C(H)C(H)H,C6H15ClGe ,195.246,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1160, O-TERPHENYL ,  84-15-1  ,c1(-c2c(-c3ccccc3)cccc2)ccccc1,C18H14 ,230.3038,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1161, ANILAZINE ,  101-05-3  ,c1(Cl)c(Nc2nc(Cl)nc(Cl)n2)cccc1,C9H5Cl3N4 ,275.5211,Inc ,1,1,ND ,1,ND ,1,ND ,ND ,ND ,1,ND ,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1162, P-TERPHENYL ,  92-94-4  ,c1(-c2ccc(-c3ccccc3)cc2)ccccc1,C18H14 ,230.3038,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1163, ALLYLTRIMETHYLSILANE ,  762-72-1  ,HC(H)[Si](C(H)H)(C(H)H)C(H)C=CH,C6H14Si ,114.2609,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1164," 3,4-DIHYDROXY-3-CYCLOBUTENE-1,2-DIONE ",  2892-51-5  ,C1(=O)C(=O)C(O)=C1O,C4H2O4 ,114.0563,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1165, 4-HEXYL-4'-CYANOBIPHENYL ,  41122-70-7  ,HC(H)C(H)C(H)C(H)C(H)C(H)c1ccc(-c2ccc(C#N)cc2)cc1,C19H21N ,263.3768,1,1,1,1,1,1,1,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1166," N'-METHYL-N,N-DIPHENYLUREA ",  13114-72-2  ,HC(H)NC(=O)N(c1ccccc1)c1ccccc1,C14H14N2O ,226.2738,1,1,1,1,1,1,1,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1167, SCOPALAMINE HYDROBROMIDE TRIHYDRATE ,  6533-68-2  ,[Br-].HC(H)N1[C@]2C(H)C(OC(=O)[C@@](c3ccccc3)C(H)O)C(H)[C@]1[C@@]1[C@@]2O1.O.O.O.R,C17H28BrNO7 ,438.3108,1,1,1,1,1,1,1,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1168, 3-INDAZOLONE ,  7364-25-2  ,C1(=O)c2c(cccc2)NN1,C7H6N2O ,134.1354,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1169, CHLOROMETHYLDIMETHYLVINYL SILANE ,  16709-86-7  ,HC(H)[Si](C(H)H)(C(H)Cl)C=CH,C5H11ClSi ,134.679,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1170," 1,4-DICHLOROPHTHALAZINE ",  4752-10-7  ,c1(Cl)c2c(c(Cl)nn1)cccc2,C8H4Cl2N2 ,199.0362,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1171," 2,3,4-TRICHLOROPHENOL ",  15950-66-0  ,c1(Cl)c(Cl)c(Cl)c(O)cc1,C6H3Cl3O ,197.4455,1,1,1,1,1,1,1,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1172, DICHLOROMETHYLVINYL SILANE ,  124-70-9  ,HC(H)[Si](Cl)(Cl)C=CH,C3H6Cl2Si ,141.0706,2,1,1,1,2,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1173, METHYLHYDRAZINE ,  60-34-4  ,HC(H)NN,CH6N2 ,46.0718,3,2,1,1,2,ND ,ND ,ND ,ND ,1,1,1,1,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1174, PHTHALHYDRAZIDE ,  1445-69-8  ,C1(=O)C2C(C(=O)N=N1)C=CC=C2,C8H6N2O2 ,162.1455,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1175, BENZIL ,  134-81-6  ,c1(C(=O)C(=O)c2ccccc2)ccccc1,C14H10O2 ,210.228,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1176, NEOPENTYL ACRYLATE ,  4513-36-4  ,HC(H)C(C(H)H)(C(H)H)C(H)OC(=O)C=CH,C8H14O2 ,142.1956,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1177, NEOPENTANEDIOL DIMETHACRYLATE ,  1985-51-9  ,HC(H)C(C(=O)OC(H)C(C(H)H)(C(H)H)C(H)OC(=O)C(C(H)H)=CH)=CH,C13H20O4 ,240.2955,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1178," 1,2-EPOXYDODECANE ",  2855-19-8  ,HC(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C1C(H)O1,C12H24O ,184.3184,1,1,1,1,1,1,1,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1179, 2-NITROBIPHENYL ,  86-00-0  ,c1(-c2c(N(=O)=O)cccc2)ccccc1,C12H9NO2 ,199.2054,1,1,1,1,1,1,1,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1180," 1,4-BUTANEDIOL DIMETHACRYLATE ",  2082-81-7  ,HC(H)C(C(=O)OC(H)C(H)C(H)C(H)OC(=O)C(C(H)H)=CH)=CH,C12H18O4 ,226.2689,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1181, IRON CARBONYL ,  13463-40-6  ,[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Fe],C5FeO5 ,195.8955,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1182, ANTHRARUFIN ,  117-12-4  ,c12C(=O)c3c(C(=O)c1c(O)ccc2)cccc3O,C14H8O4 ,240.2109,3,ND ,1,1,1,ND ,ND ,3,2,3,3,3,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1183, ABIETIC ACID ,  514-10-3  ,HC(H)[C@@]1(C(=O)O)C(H)C(H)C(H)[C@@]2(C(H)H)[C@@]3C(C=C(C(C(H)H)C(H)H)C(H)C3H)=CC(H)[C@]12,C20H30O2 ,302.451,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1184, 4-CHLOROPHENYLACETONITRILE ,  140-53-4  ,HC(c1ccc(Cl)cc1)C#N,C8H6ClN ,151.5927,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1185, CHROMIUM CARBONYL ,  13007-92-6  ,[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Cr],C6CrO6 ,220.0567,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1186, PENTYL ACRYLATE ,  2998-23-4  ,HC(H)C(H)C(H)C(H)C(H)OC(=O)C=CH,C8H14O2 ,142.1956,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1187, CHAVICOL ,  501-92-8  ,HC(c1ccc(O)cc1)C=CH,C9H10O ,134.1751,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1188, DIETHYLENE GLYCOL DIACRYLATE ,  4074-88-8  ,HC(C(H)OC(=O)C=CH)OC(H)C(H)OC(=O)C=CH,C10H14O5 ,214.2152,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1189," 5-AMINO-2-MERCAPTO-1,3,4-THIADIAZOLE ",  2349-67-9  ,C1(N)=NNC(=S)S1,C2H3N3S2 ,133.1974,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1190, TARA GUM ,  39300-88-4  ,, , ,1,1,1,1,1,1,1,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1191, ALPHA-CHLOROHYDRIN ,  96-24-2  ,HC(Cl)C(O)C(H)O,C3H7ClO2 ,110.5392,3,3,3,3,3,ND ,1,ND ,ND ,2,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1192, BETA-CARYOPHYLLENE ,  87-44-5  ,HC(H)C1(C(H)H)C(H)[C@@]2C(=CH)C(H)C(H)C=C(C(H)H)C(H)C(H)[C@]12,C15H24 ,204.3511,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1193, ETHYL SILICATE ,  11099-06-2  ,HC(H)C(H)O[Si](OC(H)C(H)H)(OC(H)C(H)H)OC(H)C(H)H,C8H20O4Si ,208.3275,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1194," 2-[(BENZOYLOXY)METHYL]-2-METHYLDIBENZOATE-1,3-PROPANEDIOL ",  4196-87-6  ,HC(H)C(C(H)OC(=O)c1ccccc1)(C(H)OC(=O)c1ccccc1)C(H)OC(=O)c1ccccc1,C26H24O6 ,432.4652,1,1,1,1,1,1,1,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1195, TAMOXIFEN CITRATE ,  54965-24-1  ,HC(C(O)(C(=O)O)C(H)C(=O)O)C(=O)O.HC(H)C(H)C(c1ccccc1)=C(c1ccc(OC(H)C(H)N(C(H)H)C(H)H)cc1)c1ccccc1,C32H37NO8 ,563.6381,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1196, 3-PHENYLPROPANOIC ACID ,  501-52-0  ,HC(c1ccccc1)C(H)C(=O)O,C9H10O2 ,150.1745,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
1197, 3-PHENYLPROPANOL ,  122-97-4  ,HC(c1ccccc1)C(H)C(H)O,C9H12O ,136.191,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
