Structure [idcode]	Molecule Name	Formula	FW	DSSTox_CID	SR-HSE	NR-AR	SR-ARE	NR-Aromatase	NR-ER-LBD	NR-AhR	SR-MMP	NR-ER	NR-PPAR-gamma	SR-p53	SR-ATAD5	NR-AR-LBD	Smiles	
deT@@DjWviifjjFP@	NCGC00256155-01	C10H16	136.2340	27053	0	0		0	0	0	0	0	0	0	0	0	CC(C)[C@@H]1C=CC(C)=CC1	
ekRzJ@@DFLomPKGOMlbbbbbRTLTlRRbt\RTRtRRTXDdTlBZVAaiyeMUuZjjji`hJajjjBAbhhnLHPaHEChCHX@@	NCGC00163163-01	C35H41N5O5	611.7305	26322		0			0	0				0	0	0	CC(C)[C@@](C(N1[C@@H](Cc2ccccc2)C(N2[C@H]3CCC2)=O)=O)(NC([C@H](C2)CN(C)[C@H](Cc4c[nH]5)[C@H]2c2c4c5ccc2)=O)O[C@@]13O	
ekRzJ@@DFLomPKGOMlbbbbbRTLTlRRbt\RTRtRRTXDdTlBZVAaiyeMUuZjjji`hJajjjBAbhhnLHPaHEChCHX@@	NCGC00017401-02	C35H41N5O5	611.7305	26322		0			0	0		0		0	0	0	CC(C)[C@@](C(N1[C@@H](Cc2ccccc2)C(N2[C@H]3CCC2)=O)=O)(NC([C@H](C2)CN(C)[C@H](Cc4c[nH]5)[C@H]2c2c4c5ccc2)=O)O[C@@]13O	
day@@@qIZ{jjaB@@	NCGC00255400-01	C6H12N2	112.1729	7759	0	0	0	0	0	0		0	0	0	0	0	CC(C)[C@@](C)(C#N)N	
ehTTB@@GL`JColdTtRRLbTURbrbRfVxdvnhHHjnjjh@bhHEB@@	NCGC00344584-01	C27H38N2O4	454.6016	21152	0		0										CC(C)[C@@](CCCN(C)CCc(cc1)cc(OC)c1OC)(c(cc1)cc(OC)c1OC)C#N	
ehTTB@@GL`JColdTtRRLbTURbrbRfVxdvnhHHjnjjh@bhHEB@@	NCGC00016083-09	C27H38N2O4	454.6016	21152		0		0	0	0				0	0	0	CC(C)[C@@](CCCN(C)CCc(cc1)cc(OC)c1OC)(c(cc1)cc(OC)c1OC)C#N	
edTTBH@OBhFK`PHc@hihddYDhjeEeDeLlHh\}PPQU]UUPAEPPZD@@	NCGC00258732-01	C27H39ClN2O4	491.0626 (454.6016+36.4609)	14095	0	0	0	0	0	0				0	0	0	CC(C)[C@@](CCCN(C)CCc(cc1)cc(OC)c1OC)(c(cc1)cc(OC)c1OC)C#N.Cl	
ebRTJH@HfhFAOdPHc@hihhdciDhjeEeDeLmIh|CPQDUUuUU@DUAAXP@@	NCGC00015686-11	C28H41ClN2O5	521.0885 (484.6276+36.4609)	27844	0		0										CC(C)[C@@](CCCN(C)CCc(cc1)cc(OC)c1OC)(c(cc1OC)cc(OC)c1OC)C#N.Cl	
ebRTJH@HfhFAOdPHc@hihhdciDhjeEeDeLmIh|CPQDUUuUU@DUAAXP@@	NCGC00015686-05	C28H41ClN2O5	521.0885 (484.6276+36.4609)	27844		0		0	0	0	0	0	0	0	0	0	CC(C)[C@@](CCCN(C)CCc(cc1)cc(OC)c1OC)(c(cc1OC)cc(OC)c1OC)C#N.Cl	
gehLpD@@JEcHTAHjPz}qTcPBCpdjOBThuvOObKFkurJIQQQQSRjYSJZJJZJJJ[QKGJMQQQjJJYZJJJZZFJJIRsJVITZCVgQZmeJmQkUUUUMMMTuMSMTuU@PSUMUTsUUUUSMSQRcABDxKiOdgK\`Lhpr`@	NCGC00271789-02	C62H86N12O16	1255.4170	31	0												CC(C)[C@H](C(N(CCC1)[C@@H]1C(N(C)CC(N(C)[C@@H](C(C)C)C(O[C@H](C)[C@@H]1NC(c2ccc(C)c(O3)c2N=C(C(C(N[C@@H]([C@@H](C)OC([C@H](C(C)C)N(C)C(CN(C)C([C@H](CCC2)N2C([C@@H](C(C)C)N2)=O)=O)=O)=O)C2=O)=O)=C2N)C3=C(C)C2=O)=O)=O)=O)=O)=O)NC1=O	
gehLpD@@JEcHTAHjPz}qTcPBCpdjOBThuvOObKFkurJIQQQQSRjYSJZJJZJJJ[QKGJMQQQjJJYZJJJZZFJJIRsJVITZCVgQZmeJmQkUUUUMMMTuMSMTuU@PSUMUTsUUUUSMSQRcABDxKiOdgK\`Lhpr`@	NCGC00161622-02	C62H86N12O16	1255.4170	31		0			0					1	0		CC(C)[C@H](C(N(CCC1)[C@@H]1C(N(C)CC(N(C)[C@@H](C(C)C)C(O[C@H](C)[C@@H]1NC(c2ccc(C)c(O3)c2N=C(C(C(N[C@@H]([C@@H](C)OC([C@H](C(C)C)N(C)C(CN(C)C([C@H](CCC2)N2C([C@@H](C(C)C)N2)=O)=O)=O)=O)C2=O)=O)=C2N)C3=C(C)C2=O)=O)=O)=O)=O)=O)NC1=O	
gehLpD@@JEcHTAHjPz}qTcPBCpdjOBThuvOObKFkurJIQQQQSRjYSJZJJZJJJ[QKGJMQQQjJJYZJJJZZFJJIRsJVITZCVgQZmeJmQkUUUUMMMTuMSMTuU@PSUMUTsUUUUSMSQRcABDxKiOdgK\`Lhpr`@	NCGC00260031-01	C62H86N12O16	1255.4170	31	0	0		1	0	0				1			CC(C)[C@H](C(N(CCC1)[C@@H]1C(N(C)CC(N(C)[C@@H](C(C)C)C(O[C@H](C)[C@@H]1NC(c2ccc(C)c(O3)c2N=C(C(C(N[C@@H]([C@@H](C)OC([C@H](C(C)C)N(C)C(CN(C)C([C@H](CCC2)N2C([C@@H](C(C)C)N2)=O)=O)=O)=O)C2=O)=O)=C2N)C3=C(C)C2=O)=O)=O)=O)=O)=O)NC1=O	
enYTJH@N@aIC@ZP@cIEHdXlhihiEhhiiChhd}okdX\ZjijZjjjjjijZjdteb\RTrUTvUrQP@	NCGC00167968-01	C31H52N2O5S	564.8200	26751		0			0	0				0	0	0	CC(C)[C@H](C(NCC(C)(C)SCC(O[C@H](C[C@@]1(C)C=C)[C@@](C)([C@@H]2C(CC3)=O)[C@H](C)CC[C@]23[C@@H](C)[C@@H]1O)=O)=O)N	
ebZRFD@FMHmeKJeg`P@b@HrQIJIJISKQQQJJIZ{ZM]W_UUULmUSUSTsUQAD\PT~RFed`	NCGC00229513-01	C24H36N4O6S2	540.6958	28505		0		1	1		0		1	1	1		CC(C)[C@H](C(N[C@H](CSSCC/C=C/[C@H](C1)OC([C@H](C(C)C)NC(/C(/N2)=C/C)=O)=O)C2=O)=O)NC1=O	
elZTLB@BFo@m`H`rPldGICHhhddiiEEFXeLeMhdfAEchTXHHjjZjl@b@@BCb@@	NCGC00254628-01	C26H22ClF3N2O3	502.9127	17555		0	0	0		0	1	0			0	0	CC(C)[C@H](C(OC(c1cc(Oc2ccccc2)ccc1)C#N)=O)Nc(ccc(C(F)(F)F)c1)c1Cl	
eh\XBD@BlKGI`IABPrJYQIYQQSFISISZIHRPY[xFj@BijjpBH@@HEH@@	NCGC00255121-01	C26H23F2NO4	451.4619	2301		0	0		0	0	1	0	0	0	0	0	CC(C)[C@H](C(OC(c1cc(Oc2ccccc2)ccc1)C#N)=O)c(cc1)ccc1OC(F)F	
eg`XLH@HeMF`HcHhdlhhicDidimDePqUt]]@ATuUXAD@@BGD\P@	NCGC00254689-01	C25H22ClNO3	419.9001	12667		0	0	0	0	0		0	0	0	0	0	CC(C)[C@H](C(O[C@@H](c1cc(Oc2ccccc2)ccc1)C#N)=O)c(cc1)ccc1Cl	
fnca`@D@t[HheEDeDkDdheNrujjjZ``hcFHRN`@	NCGC00178741-03	C19H27NO3	317.4226	20687	0		0										CC(C)[C@H](CC1)CC[C@@H]1C(N[C@H](Cc1ccccc1)C(O)=O)=O	
fnca`@D@t[HheEDeDkDdheNrujjjZ``hcFHRN`@	NCGC00095121-01	C19H27NO3	317.4226	20687		0			0	0	0	0	0	0	0	0	CC(C)[C@H](CC1)CC[C@@H]1C(N[C@H](Cc1ccccc1)C(O)=O)=O	
dmtH@@RYeeZVjjjQDt@	NCGC00095606-02	C10H18O	154.2493	24384	0		0										CC(C)[C@H](CC[C@@H](C)C1)C1=O	
dmtH@@RYeeZVjjjQDt@	NCGC00095606-01	C10H18O	154.2493	24384		0		0	0	0	0	0	0	0	0	0	CC(C)[C@H](CC[C@@H](C)C1)C1=O	
dmtH@@RYeeZVjjjQDt@	NCGC00255957-01	C10H18O	154.2493	24384		0	0	0	0		0	0	0	0	0	0	CC(C)[C@H](CC[C@@H](C)C1)C1=O	
dmtH@@RYeeZZjjjrHbZ@@	NCGC00259372-01	C10H20O	156.2652	2180	0		0		0		0	0	0	0	0	0	CC(C)[C@H](CC[C@@H](C)C1)[C@@H]1O	
dmtH@@RYeeZZjjjrHbZ@@	NCGC00259468-01	C10H20O	156.2652	2180	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)[C@H](CC[C@@H](C)C1)[C@@H]1O	
dmtH@@RYeeZZjjjrHbZ@@	NCGC00260156-01	C10H20O	156.2652	2180	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)[C@H](CC[C@@H](C)C1)[C@@H]1O	
dmtH@@RYeeZZjjjrHbZ@@	NCGC00256525-01	C10H20O	156.2652	2180	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)[C@H](CC[C@@H](C)C1)[C@@H]1O	
dmtH@@RYeeZZjjjrHbZ@@	NCGC00256561-01	C10H20O	156.2652	2180	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)[C@H](CC[C@@H](C)C1)[C@@H]1O	
ea^\FH@LALhEHodVPHc@eMHbihhcMLhhcDeLded|BuUSUUUUU@DUUPQh`deJh@@	NCGC00186464-03	C30H54ClN3O6	588.2193 (551.7583+36.4609)	28971	0		0										CC(C)[C@H](C[C@@H]([C@H](C[C@@H](C(C)C)C(NCC(C)(C)C(N)=O)=O)O)N)Cc(cc1)cc(OCCCOC)c1OC.Cl	
ea^\FH@LALhEHodVPHc@eMHbihhcMLhhcDeLded|BuUSUUUUU@DUUPQh`deJh@@	NCGC00186464-01	C30H54ClN3O6	588.2193 (551.7583+36.4609)	28971		0		0	0	0	0	0	0	0	0	0	CC(C)[C@H](C[C@@H]([C@H](C[C@@H](C(C)C)C(NCC(C)(C)C(N)=O)=O)O)N)Cc(cc1)cc(OCCCOC)c1OC.Cl	
ef^\LL@FgogBn`HbBHPdL@rbRfRfbbQbrbQRbRRW@fa`LIML@EUUUMUUST@DBBdL`@	NCGC00094089-01	C29H40Cl2FN3O3	568.5506 (495.6287+36.4609+36.4609)	24204		0											CC(C)[C@H]([C@@](CCN(C)CCCc1nc(cccc2)c2[nH]1)(CC1)OC(COC)=O)c(cc2)c1cc2F.Cl.Cl	
ef^\LL@FgogBn`HbBHPdL@rbRfRfbbQbrbQRbRRW@fa`LIML@EUUUMUUST@DBBdL`@	NCGC00161420-06	C29H40Cl2FN3O3	568.5506 (495.6287+36.4609+36.4609)	24204	0												CC(C)[C@H]([C@@](CCN(C)CCCc1nc(cccc2)c2[nH]1)(CC1)OC(COC)=O)c(cc2)c1cc2F.Cl.Cl	
deT@@DjWviifjjFH@	NCGC00256667-01	C10H16	136.2340	27593	0	0		0	0	0	0	0	0	0	0	0	CC(C)[C@H]1C=CC(C)=CC1	
dmLH@@RYe~IfyjjjkDaIh@	NCGC00255622-01	C10H16O	152.2334	6148	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)[C@](C1)(C2)[C@H]1[C@@H](C)C2=O	
dmLH@@RYe~IfyjjjkDaIh@	NCGC00258422-01	C10H16O	152.2334	6148	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)[C@](C1)(C2)[C@H]1[C@@H](C)C2=O	
fbm@`@@ZrQRJQPmJJIDYSb\uUUUPDEFHIDX`@	NCGC00255026-01	C18H26O2	274.3978	14456	0	0	0		0		0	0	0	0	0	0	CC(C)[C@](CC1)(C2)O[C@@]1(C)[C@H]2OCc1c(C)cccc1	
ei]\NL@NCAoC`X\^QPIABPpdLbdLRRRRttbbQrbbRETrTDdLlZz^Aj`@jijjjjjijfJb@duIdl`@	NCGC00254109-01	C28H40F3N3O7	587.6283 (470.5477+117.0806)	27335	0	0	0	0	0	0	0		0	0	0	0	CC(C)[C@](CC1)(C[C@@H]1N[C@@H](CCOC1)[C@@H]1OC)C(N1Cc2cc(C(F)(F)F)cnc2CC1)=O.OC(CCC(O)=O)=O	
edRXBH@H^AIE`@cIEEEEEEbiDhgDchdlhyYy|CT`uDQUUUT@EA@y@@	NCGC00254371-01	C28H37NO4S	483.6627	27262	0	0	0	0	0	0	0	0		0	0		CC(C)[C@](CCc(cc1)ccc1N)(CC(O)=C1Sc2c(C(C)(C)C)cc(CO)c(C)c2)OC1=O	
ff}Pc@LeHXD`bPqHYEHUDeeIhhdYJKVj`@j`h@HZh@@	NCGC00258708-01	C15H15F3N2O2	312.2870	4108	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)[C@](c(cc1)ccc1OC(F)(F)F)(c1cncnc1)O	
fnsq`@DTtAN\bbTbttJbbfQISpZmZjj`HA`DHXH@@	NCGC00259557-01	C17H17N3O3	311.3352	4152	0	0	0	0		0	0		0	0	0	0	CC(C)[C@]1(C)N=C(c2nc3ccccc3cc2C(O)=O)NC1=O	
fnsq`@DTtAN\bbTbttJbbfQISpZmZjj`HA`DHXH@@	NCGC00254700-01	C17H17N3O3	311.3352	4152	0	0	0	0	0	0		0	0	0	0	0	CC(C)[C@]1(C)N=C(c2nc3ccccc3cc2C(O)=O)NC1=O	
ff}pP@DTtBJRyEDiEihUDibbT|Ejjj@`ZiHXH@@	NCGC00254909-01	C15H19N3O4	305.3291	14664	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)[C@]1(C)N=C(c2ncc(COC)cc2C(O)=O)NC1=O	
fleq`@DTtBJ\bbTbttJbTISpVjjhBAda``@	NCGC00254903-01	C13H15N3O3	261.2765	14665	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)[C@]1(C)N=C(c2ncccc2C(O)=O)NC1=O	
fjmQ`@DT@FNQQJQZZFIQKDiyKSUTDCEQCA@@	NCGC00255361-01	C16H20N2O3	288.3416	12412	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)[C@]1(C)NC(c(cc(C)cc2)c2C(OC)=O)=NC1=O	
fbuq`@DTtBJ\bbTbttJbTqJ^BtuU@PMQCA@@	NCGC00254805-01	C14H17N3O3	275.3031	14270	0	0	0	0	0	0			0	0	0	0	CC(C)[C@]1(C)NC(c2ncc(C)cc2C(O)=O)=NC1=O	
dmtH@@rJQQHxYjjijHh@	NCGC00256250-01	C10H18O	154.2493	24824	0	0	0	0	0	0	0		0	0	0	0	CC(C)[C@]1(CC=C(C)CC1)O	
fek`RBHppZXLPGQg@eDhhhddmDmK@zHRiruUPUATUTP@@	NCGC00093969-01	C20H32BrNO4	430.3764 (79.9045+332.4566+18.0153)	25772		0		0	0	0	0	1	0	0	0		CC(C)[N+](C)(C(CC1)C2)C1CC2OC(C(CO)c1ccccc1)=O.O.[Br-]	
fek`RBHppZXLPGQg@eDhhhddmDmK@zHRiruUPUATUTP@@	NCGC00022819-03	C20H32BrNO4	430.3764 (79.9045+332.4566+18.0153)	25772		0		0	0	0	0	0	0	0	0	0	CC(C)[N+](C)(C(CC1)C2)C1CC2OC(C(CO)c1ccccc1)=O.O.[Br-]	
ffm`bBOPTBHAwipJJIQJJH{RZRLxMA@TAEUAAa@@	NCGC00160378-02	C18H26ClNO2	323.8575 (288.4040+35.4535)	26119	0		0										CC(C)[N+](C)(C)C[C@@H](COc1cccc2ccccc12)O.[Cl-]	
ffm`bBOPTBHAwipJJIQJJH{RZRLxMA@TAEUAAa@@	NCGC00160378-01	C18H26ClNO2	323.8575 (288.4040+35.4535)	26119		0		0	0	0	0	0	0	0	0	0	CC(C)[N+](C)(C)C[C@@H](COc1cccc2ccccc12)O.[Cl-]	
fe{Q@DDA@F\bfdTTRRRVtabeh~RuT@PAAUU@@@	NCGC00016308-06	C23H33N2O	353.5204	3174	0		0										CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C	
fe{Q@DDA@F\bfdTTRRRVtabeh~RuT@PAAUU@@@	NCGC00016308-01	C23H33N2O	353.5204	3174		0		0	0	0	0	0	0	0	0	0	CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C	
fcwabBKPpxFHCkR`lllrrkW|vgAZgkUT@T@UAUP@@@	NCGC00015854-10	C23H30BrNO3	448.3932 (368.4887+79.9045)	3519	0		0										CC(C)[N+](C)(CCOC(C1c(cccc2)c2Oc2c1cccc2)=O)C(C)C.[Br-]	
fcwabBKPpxFHCkR`lllrrkW|vgAZgkUT@T@UAUP@@@	NCGC00094306-02	C23H30BrNO3	448.3932 (368.4887+79.9045)	3519		0		0	0	0	0	0	0	0	0	0	CC(C)[N+](C)(CCOC(C1c(cccc2)c2Oc2c1cccc2)=O)C(C)C.[Br-]	
fcwabBKPpxFHCkR`lllrrkW|vgAZgkUT@T@UAUP@@@	NCGC00255145-01	C23H30BrNO3	448.3932 (368.4887+79.9045)	3519	0	0	0	0	0		0	0	1	0	0	0	CC(C)[N+](C)(CCOC(C1c(cccc2)c2Oc2c1cccc2)=O)C(C)C.[Br-]	
gGX`hEIWIMsU@@	NCGC00257919-01	C3H7NO2	89.0932	981	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)[N+]([O-])=O	
fegAR@HHpNX@cIIKEDeDcHdcIiIWdeZm@PUUUUSEXloSJ@@	NCGC00181160-01	C20H28O5S	380.4983	26881		0		0	0	0	0	0	0	0	0	0	CC(C)c(cc(CC[C@@H]1[C@]2(C)CCC[C@@]1(C)C(O)=O)c2c1)c1S(O)(=O)=O	
fmgAQBHHpNX@a^aOesddebbRbQdRQdtDe^RUjtAAUUUULUbr}Lh@	NCGC00262925-01	C20H27NaO5S	402.4801 (22.9892+379.4909)	31636	0		0										CC(C)c(cc(CC[C@@H]1[C@]2(C)CCC[C@@]1(C)C([O-])=O)c2c1)c1S(O)(=O)=O.[Na+]	
dklH@@rJJIJXqn`HJj@@	NCGC00255771-01	C12H18O	178.2707	22273	0	0			0	0	1	0	0		0	0	CC(C)c(cc1)cc(C(C)C)c1O	
ffcPP@IQ@INTfYfUuUnXIUc^Z@H@Hij`@@	NCGC00167472-03	C16H14N2O4	298.2934	2595	0		1										CC(C)c(cc1)cc2c1Oc(nc(c(C(O)=O)c1)N)c1C2=O	
ffcPP@IQ@INTfYfUuUnXIUc^Z@H@Hij`@@	NCGC00167472-01	C16H14N2O4	298.2934	2595		1				1			0	0	1		CC(C)c(cc1)cc2c1Oc(nc(c(C(O)=O)c1)N)c1C2=O	
fdeAB@C@BLdTTTRRVNeNRmiu@D@HUP@@@	NCGC00256279-01	C16H14OS	254.3468	24691	1	0	1		0	1		1	0	0	1	0	CC(C)c(cc1)cc2c1Sc(cccc1)c1C2=O	
dmv@@@RVUv[n@Bh@@	NCGC00256669-01	C10H11N	145.2010	27440	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)c(cc1)ccc1C#N	
do}H@DpLbbbLRVTWVj`@j@@	NCGC00255738-01	C12H18N2O	206.2841	22077	0	0	0		0	1	0		0	0	0	0	CC(C)c(cc1)ccc1NC(N(C)C)=O	
deTH@@RYWZf`@j@@	NCGC00255837-01	C9H12O	136.1910	22299	0	0	0	0	0	0			0	0	0	0	CC(C)c(cc1)ccc1O	
dklL`HS@BLddlRVTFUh@J`@@	NCGC00256166-01	C9H12O3S	200.2548	24932	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)c(cc1)ccc1S(O)(=O)=O	
dglLQHS@BKtLzyrRRqIYPCJt@EP@@	NCGC00256755-01	C9H11NaO3S	222.2366 (22.9892+199.2474)	27523	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)c(cc1)ccc1S([O-])(=O)=O.[Na+]	
fa}pq@Bm{AFF\r@HhDYIHGICMDeEYeG^VehBBif`@@	NCGC00254230-01	C13H21N3O6S2	379.4523 (283.3467+96.1057)	27344	0	0	0	0	0	0	0		0	0	0	0	CC(C)c(ccc(C(N=C(N)N)=O)c1)c1S(C)(=O)=O.CS(O)(=O)=O	
dmtH@@RYeY[hBBh@@	NCGC00159373-04	C10H14O	150.2176	14972	0		0										CC(C)c(ccc(C)c1)c1O	
dmtH@@RYeY[hBBh@@	NCGC00159373-02	C10H14O	150.2176	14972		0		0	0	0	0	0	0	0	0	0	CC(C)c(ccc(C)c1)c1O	
dmtH@@RYeY[hBBh@@	NCGC00254459-01	C10H14O	150.2176	14972	0	0			0	0	1	0	0	0	0	0	CC(C)c(ccc(C)c1)c1O	
dcLH@@RfyV^F`HJ`@@	NCGC00256877-01	C11H16O	164.2441	27617	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)c(ccc(C)c1)c1OC	
deTH@@RYeYn`HJ@@	NCGC00255940-01	C9H12O	136.1910	24391	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)c(cccc1)c1O	
dg^D@LADfUnUeuj`HJ@@	NCGC00255918-01	C11H15NO2	193.2423	22072	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)c(cccc1)c1OC(NC)=O	
dcODAHHPRISlbfbbQcBuMUR@@	NCGC00181095-01	C7H11N3O2	169.1811	26839		0		0		0	0	0	0	0	0	0	CC(C)c(n1C)ncc1[N+]([O-])=O	
dcL@@DjYYYiBHhh@@	NCGC00260305-01	C12H18	162.2713	7858	0	0	0	0	0	0		0	0	0	0	0	CC(C)c1c(C(C)C)cccc1	
eiSTJH@AIaeh^QPICHhdlhhhdheDdhXcmEDlmJFEKNcbVX@JZj`j`Zb`hHXPPjct@@	NCGC00255181-01	C33H35FN2O5	558.6398	9868	0	0		1	0			0		0	0	0	CC(C)c1c(C(Nc2ccccc2)=O)c(-c2ccccc2)c(-c(cc2)ccc2F)n1CC[C@H](C[C@H](CC(O)=O)O)O	
glht`hpXIBqMaf[DPjTaHzXjT@TPIAUH@Ee\e{@eDeeEEDeDhdeCD]hheehJhdlhhhdheDdhXcmEDlmFGCPxFWJWKtFK]hKErE`@ijjBjAjJB`ah@JZj`j`Zb`hHXPDBCR_I~`f@@	NCGC00159458-05	C66H68CaF2N4O10	1155.3417 (557.6324+557.6324+40.0769)	24303	0												CC(C)c1c(C(Nc2ccccc2)=O)c(-c2ccccc2)c(-c(cc2)ccc2F)n1CC[C@H](C[C@H](CC([O-])=O)O)O.CC(C)c1c(C(Nc2ccccc2)=O)c(-c2ccccc2)c(-c(cc2)ccc2F)n1CC[C@H](C[C@H](CC([O-])=O)O)O.[Ca+2]	
glht`hpXIBqMaf[DPjTaHzXjT@TPIAUH@Ee\e{@eDeeEEDeDhdeCD]hheehJhdlhhhdheDdhXcmEDlmFGCPxFWJWKtFK]hKErE`@ijjBjAjJB`ah@JZj`j`Zb`hHXPDBCR_I~`f@@	NCGC00255845-01	C66H68CaF2N4O10	1155.3417 (557.6324+557.6324+40.0769)	24303	0	0		1	0	0		0		0	0		CC(C)c1c(C(Nc2ccccc2)=O)c(-c2ccccc2)c(-c(cc2)ccc2F)n1CC[C@H](C[C@H](CC([O-])=O)O)O.CC(C)c1c(C(Nc2ccccc2)=O)c(-c2ccccc2)c(-c(cc2)ccc2F)n1CC[C@H](C[C@H](CC([O-])=O)O)O.[Ca+2]	
glht`hpXIBqMaf[DPjTaHzXjT@TPIAUH@Ee\e{@eDeeEEDeDhdeCD]hheehJhdlhhhdheDdhXcmEDlmFGCPxFWJWKtFK]hKErE`@ijjBjAjJB`ah@JZj`j`Zb`hHXPDBCR_I~`f@@	NCGC00159458-03	C66H68CaF2N4O10	1155.3417 (557.6324+557.6324+40.0769)	24303		0			0	0		1	0	0	0	0	CC(C)c1c(C(Nc2ccccc2)=O)c(-c2ccccc2)c(-c(cc2)ccc2F)n1CC[C@H](C[C@H](CC([O-])=O)O)O.CC(C)c1c(C(Nc2ccccc2)=O)c(-c2ccccc2)c(-c(cc2)ccc2F)n1CC[C@H](C[C@H](CC([O-])=O)O)O.[Ca+2]	
edTXJDDOLek`XPMBBP@fGlBTRVTTTTRVbTQcTrcGEgd@DADSUUUUS@`uCiAy@	NCGC00164625-04	C26H33FNNaO5	481.5321 (22.9892+458.5429)	26488	0												CC(C)c1c(COC)c(-c(cc2)ccc2F)c(/C=C/[C@H](C[C@H](CC([O-])=O)O)O)c(C(C)C)n1.[Na+]	
edTXJDDOLek`XPMBBP@fGlBTRVTTTTRVbTQcTrcGEgd@DADSUUUUS@`uCiAy@	NCGC00164625-02	C26H33FNNaO5	481.5321 (22.9892+458.5429)	26488		1		1		0		1		0	0		CC(C)c1c(COC)c(-c(cc2)ccc2F)c(/C=C/[C@H](C[C@H](CC([O-])=O)O)O)c(C(C)C)n1.[Na+]	
efYPA@@@JIMFhT\\bTTTtTVttTQbaaTTRR`be`PruwsA@QAQPTD@QST@@PNT@	NCGC00016423-03	C30H30O8	518.5544	3110		0			0	0	1		0		1		CC(C)c1c(cc(C)c(-c2c(C)cc(c(C(C)C)c(c(O)c3C=O)O)c3c2O)c2O)c2c(C=O)c(O)c1O	
fas@a@HEAV]kLbTTRTRlTRrTWAQSPDETAAUP@@@	NCGC00159504-04	C20H24I2O2	550.2123	26081	0		0										CC(C)c1cc(-c(c(C)c2)cc(C(C)C)c2OI)c(C)cc1OI	
fas@a@HEAV]kLbTTRTRlTRrTWAQSPDETAAUP@@@	NCGC00159504-02	C20H24I2O2	550.2123	26081		0		0	0	0		0	0	0	0	0	CC(C)c1cc(-c(c(C)c2)cc(C(C)C)c2OI)c(C)cc1OI	
do|@@LdbRbblThP`hjj@@	NCGC00254932-01	C15H24	204.3511	21232	0	0	0	0	0	0	0	0	0	0	0	0	CC(C)c1cc(C(C)C)cc(C(C)C)c1	
do~D@LADfUmYzUZh@Jh@@	NCGC00255587-01	C12H17NO2	207.2689	17617	0	0	0	0	0	0		0	0	0	0	0	CC(C)c1cc(C)cc(OC(NC)=O)c1	
fik``@B@QdTARdTVdVeRragAbVkUUUUP@UTXYNQT@@	NCGC00255644-01	C22H35NO2	345.5188 (60.0520+285.4668)	27102		0				0							CC(C)c1cc(CC[C@@H]2[C@]3(C)CCC[C@@]2(C)CN)c3cc1.CC(O)=O	
dcLH`IBHRYeufz@`j`@@	NCGC00159384-04	C10H13ClO	184.6626	21547	0		0										CC(C)c1cc(Cl)c(C)cc1O	
dcLH`IBHRYeufz@`j`@@	NCGC00254813-01	C10H13ClO	184.6626	21547	0	0	0		0	0	1		0		0		CC(C)c1cc(Cl)c(C)cc1O	
dmtH@@RYe~[hBBh@@	NCGC00256001-01	C10H14O	150.2176	22074	0	0	0	0	0	0		0	0	0	0	0	CC(C)c1cc(O)c(C)cc1	
fjeab@DpqXDQ`RbtTRrTQRbmMPDEUUP@@	NCGC00015678-10	C16H26ClNO3	315.8355 (279.3746+36.4609)	26946	0		0										CC(C)c1cc(OC(C)=O)c(C)cc1OCCN(C)C.Cl	
fjeab@DpqXDQ`RbtTRrTQRbmMPDEUUP@@	NCGC00015678-02	C16H26ClNO3	315.8355 (279.3746+36.4609)	26946		0		0	0	0	0	0	0	0	0	0	CC(C)c1cc(OC(C)=O)c(C)cc1OCCN(C)C.Cl	
en]RNH@LHahXDIE@ec`@cIICEDdlheMDeXdidThdjNCGNakgjVUj`XHjZfiiZjjbh@@	NCGC00254231-01	C27H32N4O7S	556.6306	27368	0	0	1		0	0	0	0	0	0	0	1	CC(C)c1cc(OC)cc(S(N2COC(N=C3N4C=CC=C3OCCN3CCCCC3)=CC4=O)(=O)=O)c1C2=O	
dcL@@LdbRbjeBDEEP@@	NCGC00258931-01	C12H18	162.2713	6652	0	0	0	0		0	0		0	0	0	0	CC(C)c1ccc(C(C)C)cc1	
